name,sub_name,wongnai_url,restaurantType,facility,description,imgPath,phone,website,openingHour,priceRange,latitude,longitude,address,province,district,subDistrict,province_code,district_code,sub_district_code,score,ratingCount
หมี่ต้นโพธิ์ เมืองภูเก็ต (วงเวียนหอนาฬิกา),สาขา 1 หอนาฬิกา,https://www.wongnai.com/restaurants/10178Jq-%E0%B8%AB%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B9%8C-%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95-%E0%B8%A7%E0%B8%87%E0%B9%80%E0%B8%A7%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%AB%E0%B8%AD%E0%B8%99%E0%B8%B2%E0%B8%AC%E0%B8%B4%E0%B8%81%E0%B8%B2-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2-1-%E0%B8%AB%E0%B8%AD%E0%B8%99%E0%B8%B2%E0%B8%AC%E0%B8%B4%E0%B8%81%E0%B8%B2?_st=cD01O2I9MTAxNzg7YWQ9ZmFsc2U7dD0xNzI2OTM1OTk4NDk4O3JpPTFYN2I2TFlpVnVuZWJYWEs1anZIdWg1R0l0OVhSTTtpPTFYNzBaZktKMHhJSTZaWWhSeUFsZktaQjJEZVhuVzt3cmVmPXNyOw%3D%3D,"['ก๋วยเตี๋ยว', 'อาหารกล่อง/ข้าวกล่อง เดลิเวอรี', 'อาหารตามสั่ง']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ครัวโอมภูเก็ต,,https://www.wongnai.com/restaurants/261378yF-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B9%82%E0%B8%AD%E0%B8%A1%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95?_st=cD02O2I9MjYxMzc4O2FkPWZhbHNlO3Q9MTcyNjkzNTk5ODQ5ODtyaT0xWDdiNkxZaU9vaVhhaWR2NGFrd2hJeXhieGpEUWY7aT0xWDcwWmZLSjB4SUk2WlloUnlBbGZLWkIyRGVYblc7d3JlZj1zcjs%3D,"['อาหารใต้', 'อาหารตามสั่ง', 'อาหารไทย']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ฮ้องข้าวต้มปลา,,https://www.wongnai.com/restaurants/110263UT-%E0%B8%AE%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%9B%E0%B8%A5%E0%B8%B2?_st=cD03O2I9MTEwMjYzO2FkPWZhbHNlO3Q9MTcyNjkzNTk5ODQ5OTtyaT0xWDdiNkxZaVZRMmxRNW9iZHBKemVRQVJub29adGs7aT0xWDcwWmZLSjB4SUk2WlloUnlBbGZLWkIyRGVYblc7d3JlZj1zcjs%3D,"['ร้านข้าวต้ม', 'อาหารจีน', 'อาหารไทย']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
วันจันทร์,-,https://www.wongnai.com/restaurants/onechun?_st=cD04O2I9MjgyODg7YWQ9ZmFsc2U7dD0xNzI2OTM1OTk4NTAwO3JpPTFYN2I2TFlpT01na09xTlk2S1FpTjE2cHl2VjBJbztpPTFYNzBaZktKMHhJSTZaWWhSeUFsZktaQjJEZVhuVzt3cmVmPXNyOw%3D%3D,"['อาหารใต้', 'อาหารไทย']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ปากน้ำซีฟู้ด,ถลาง,https://www.wongnai.com/restaurants/paknamseafood?_st=cD05O2I9ODU2NTthZD1mYWxzZTt0PTE3MjY5MzU5OTg1MDA7cmk9MVg3YjZMWWlRUEJSbWRpbDZYWnZneThRU09vNFByO2k9MVg3MFpmS0oweElJNlpZaFJ5QWxmS1pCMkRlWG5XO3dyZWY9c3I7,['อาหารทะเล'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
โกซ้ง ฅนโบราณ,,https://www.wongnai.com/restaurants/khonsong?_st=cD0xMDtiPTE1NjY1NzthZD1mYWxzZTt0PTE3MjY5MzU5OTg1MDE7cmk9MVg3YjZMWWlSSGpMdnlocUFTcGg3c3ZIRzZ2QjJXO2k9MVg3MFpmS0oweElJNlpZaFJ5QWxmS1pCMkRlWG5XO3dyZWY9c3I7,['อาหารไทย'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Shabu sure กมลา,-,https://www.wongnai.com/restaurants/1922693VI-shabu-sure-%E0%B8%81%E0%B8%A1%E0%B8%A5%E0%B8%B2?_st=cD0xO2I9MTkyMjY5MzthZD1mYWxzZTt0PTE3MjY5MzYwMjcyMTM7cmk9MVg3YjZMWW03RHBTdjVWT05OdWs0M0prbFI5YVVyO2k9MVg3MFpmS01laXZhYmJQVkM4MWZaOE1aVUI0aFd2O3dyZWY9c3I7,"['คาเฟ่', 'อาหารจานเดียว', 'ร้านกาแฟ/ชา']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
บ้านส้มตำ-ไก่ย่าง เกาะแก้วภูเก็ต,เกาะแก้ว ภูเก็ต,https://www.wongnai.com/restaurants/2416912Fd-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B8%B3-%E0%B9%84%E0%B8%81%E0%B9%88%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87-%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B8%B0%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95-%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B8%B0%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7-%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95,['อาหารอีสาน/ร้านส้มตำ'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
มุขมณี ซีฟู้ด,,https://www.wongnai.com/restaurants/mookmaneeseafood?_st=cD0zO2I9MTExNzMyO2FkPWZhbHNlO3Q9MTcyNjkzNjAyNzIyMDtyaT0xWDdiNkxZbTVHQVFlQXkya21VcDhNSUtwTFFueG87aT0xWDcwWmZLTWVpdmFiYlBWQzgxZlo4TVpVQjRoV3Y7d3JlZj1zcjs%3D,['อาหารทะเล'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Tree O’Clock Gallery & Restaurant,,https://www.wongnai.com/restaurants/2062724Gf-tree-o-clock-gallery-restaurant?_st=cD00O2I9MjA2MjcyNDthZD1mYWxzZTt0PTE3MjY5MzYwMjcyMjA7cmk9MVg3YjZMWW02VjkzblhlRVBsMDN2NWx0TXFGSlJIO2k9MVg3MFpmS01laXZhYmJQVkM4MWZaOE1aVUI0aFd2O3dyZWY9c3I7,"['คาเฟ่', 'ร้านกาแฟ/ชา']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ร้านอาหารแสงดาว,ภูเก็ต,https://www.wongnai.com/restaurants/977744tK-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%AA%E0%B8%87%E0%B8%94%E0%B8%B2%E0%B8%A7-%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95?_st=cD01O2I9OTc3NzQ0O2FkPWZhbHNlO3Q9MTcyNjkzNjAyNzIyNDtyaT0xWDdiNkxZbTVXTjFBYTR3TjNJVDVUMklsTU1ETkk7aT0xWDcwWmZLTWVpdmFiYlBWQzgxZlo4TVpVQjRoV3Y7d3JlZj1zcjs%3D,"['อาหารไทย', 'อาหารทะเล', 'อาหารใต้']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
HEH,,https://www.wongnai.com/restaurants/909623nW-heh?_st=cD02O2I9OTA5NjIzO2FkPWZhbHNlO3Q9MTcyNjkzNjAyNzIyNTtyaT0xWDdiNkxZbTYwM3ZjY1hyckhnaVl5bEhkdDQ5NG07aT0xWDcwWmZLTWVpdmFiYlBWQzgxZlo4TVpVQjRoV3Y7d3JlZj1zcjs%3D,['อาหารนานาชาติ'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
กินกับอี๋,,https://www.wongnai.com/restaurants/356591DX-%E0%B8%81%E0%B8%B4%E0%B8%99%E0%B8%81%E0%B8%B1%E0%B8%9A%E0%B8%AD%E0%B8%B5%E0%B9%8B?_st=cD03O2I9MzU2NTkxO2FkPWZhbHNlO3Q9MTcyNjkzNjAyNzIyNTtyaT0xWDdiNkxZbTdZcUFtQU9ieEsxaUFzOVV1Znh1Wko7aT0xWDcwWmZLTWVpdmFiYlBWQzgxZlo4TVpVQjRoV3Y7d3JlZj1zcjs%3D,['อาหารไทย'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
Shabushi,เซ็นทรัลภูเก็ต ชั้น 1,https://www.wongnai.com/restaurants/153526qE-shabushi-%E0%B9%80%E0%B8%8B%E0%B9%87%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B8%B1%E0%B8%A5%E0%B8%A0%E0%B8%B9%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%95-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-1?_st=cD04O2I9MTUzNTI2O2FkPWZhbHNlO3Q9MTcyNjkzNjAyNzIyNztyaT0xWDdiNkxZbTZJZG9YaHpYeDVXSnE1M3FrVmJGZ3Q7aT0xWDcwWmZLTWVpdmFiYlBWQzgxZlo4TVpVQjRoV3Y7d3JlZj1zcjs%3D,"['ชาบู/สุกี้ยากี้/หม้อไฟ', 'อาหารญี่ปุ่น']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
KIN DEE,,https://www.wongnai.com/restaurants/111259LY-kin-dee?_st=cD05O2I9MTExMjU5O2FkPWZhbHNlO3Q9MTcyNjkzNjAyNzIyODtyaT0xWDdiNkxZbTRnUGtxcWtsM3hDdkttZzlFS0JldzQ7aT0xWDcwWmZLTWVpdmFiYlBWQzgxZlo4TVpVQjRoV3Y7d3JlZj1zcjs%3D,['อาหารไทย'],[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
ฉลองบุฟเฟ่ต์,,https://www.wongnai.com/restaurants/273161cD-%E0%B8%89%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%B8%E0%B8%9F%E0%B9%80%E0%B8%9F%E0%B9%88%E0%B8%95%E0%B9%8C?_st=cD0xMDtiPTI3MzE2MTthZD1mYWxzZTt0PTE3MjY5MzYwMjcyMjk7cmk9MVg3YjZMWW04RUFBYzVwaU1pUnlsdkF5SkZZV3JEO2k9MVg3MFpmS01laXZhYmJQVkM4MWZaOE1aVUI0aFd2O3dyZWY9c3I7,"['ปิ้งย่าง', 'บุฟเฟ่ต์']",[],,[''],[],{},{},,0,0,,,,,0,0,0,0,0
